CCAA,Comunidades,Fecha,Casos,Hospitalizados,UCI,Fallecidos,Recuperados,nuevos_casos,Poblacion,letalidad,mortalidad,tasa_hospitalización
AS,Asturias,2020-04-03,1522,766,87,76,190,89,1019993,4.99,7.45,50.33
IB,Islas Baleares,2020-04-03,1271,634,114,71,422,14,1198576,5.59,5.92,49.88
CN,Canarias,2020-04-03,1564,632,128,78,123,74,2220270,4.99,3.51,40.41
CB,Cantabria,2020-04-03,1384,619,60,68,99,63,581949,4.91,11.68,44.73
CM,Castilla-La Mancha,2020-04-03,9324,3133,360,989,657,801,2038440,10.61,48.52,33.6
CL,Castilla y León,2020-04-03,8332,4685,348,786,2021,457,2402877,9.43,32.71,56.23
CT,Cataluña,2020-04-03,24734,14251,1569,1928,4589,1274,7609499,7.79,25.34,57.62
CE,Ceuta,2020-04-03,73,8,4,1,2,11,84434,1.37,1.18,10.96
VC,C. Valenciana,2020-04-03,6901,3560,470,571,695,277,4998711,8.27,11.42,51.59
EX,Extremadura,2020-04-03,1979,453,64,208,205,86,1062797,10.51,19.57,22.89
GA,Galicia,2020-04-03,5625,1767,178,159,531,406,2698764,2.83,5.89,31.41
MD,Madrid,2020-04-03,36249,14741,1498,4723,15362,2061,6685471,13.03,70.65,40.67
ML,Melilla,2020-04-03,79,37,3,2,9,9,84286,2.53,2.37,46.84
MC,Murcia,2020-04-03,1188,434,79,51,113,43,1494442,4.29,3.41,36.53
NC,Navarra,2020-04-03,2972,1341,120,171,311,136,652526,5.75,26.21,45.12
PV,País Vasco,2020-04-03,8187,4522,377,477,3098,360,2181919,5.83,21.86,55.23
RI,La Rioja,2020-04-03,2405,805,64,128,843,181,314487,5.32,40.7,33.47
AN,Andalucía,2020-04-04,8301,4107,474,470,665,432,8446561,5.66,5.56,49.48
AR,Aragon,2020-04-04,3232,1588,233,270,537,154,1324397,8.35,20.39,49.13
AS,Asturias,2020-04-04,1605,808,90,80,216,83,1019993,4.98,7.84,50.34
IB,Islas Baleares,2020-04-04,1293,664,120,75,461,22,1198576,5.8,6.26,51.35
CN,Canarias,2020-04-04,1622,644,129,80,137,58,2220270,4.93,3.6,39.7
CB,Cantabria,2020-04-04,1441,639,62,68,113,57,581949,4.72,11.68,44.34
CM,Castilla-La Mancha,2020-04-04,10031,2950,357,1055,1149,707,2038440,10.52,51.76,29.41
CL,Castilla y León,2020-04-04,8749,4905,351,847,2331,417,2402877,9.68,35.25,56.06
CT,Cataluña,2020-04-04,26032,14798,1653,2053,5149,1298,7609499,7.89,26.98,56.85
CE,Ceuta,2020-04-04,83,9,4,2,2,10,84434,2.41,2.37,10.84
VC,C. Valenciana,2020-04-04,7184,3620,478,613,812,283,4998711,8.53,12.26,50.39
EX,Extremadura,2020-04-04,2047,417,66,218,215,68,1062797,10.65,20.51,20.37
GA,Galicia,2020-04-04,5944,1831,170,174,587,319,2698764,2.93,6.45,30.8
MD,Madrid,2020-04-04,37584,14551,1499,4941,16543,1335,6685471,13.15,73.91,38.72
ML,Melilla,2020-04-04,83,38,3,2,11,4,84286,2.41,2.37,45.78
MC,Murcia,2020-04-04,1235,447,80,59,130,47,1494442,4.78,3.95,36.19
NC,Navarra,2020-04-04,3073,1399,123,178,334,101,652526,5.79,27.28,45.53
PV,País Vasco,2020-04-04,8628,4666,404,515,3405,441,2181919,5.97,23.6,54.08
RI,La Rioja,2020-04-04,2592,855,66,134,904,187,314487,5.17,42.61,32.99
AN,Andalucía,2020-04-05,8581,4227,489,491,798,280,8446561,5.72,5.81,49.26
AR,Aragon,2020-04-05,3347,1637,237,284,565,115,1324397,8.49,21.44,48.91
AS,Asturias,2020-04-05,1646,846,90,86,222,41,1019993,5.22,8.43,51.4
IB,Islas Baleares,2020-04-05,1320,683,121,81,531,27,1198576,6.14,6.76,51.74
CN,Canarias,2020-04-05,1649,651,133,85,157,27,2220270,5.15,3.83,39.48
CB,Cantabria,2020-04-05,1483,658,65,77,118,42,581949,5.19,13.23,44.37
CM,Castilla-La Mancha,2020-04-05,10602,2901,354,1132,1259,571,2038440,10.68,55.53,27.36
CL,Castilla y León,2020-04-05,9116,5041,348,919,2533,367,2402877,10.08,38.25,55.3
CT,Cataluña,2020-04-05,26824,15258,1685,2167,5374,792,7609499,8.08,28.48,56.88
CE,Ceuta,2020-04-05,83,9,4,3,2,0,84434,3.61,3.55,10.84
VC,C. Valenciana,2020-04-05,7334,3668,487,637,930,150,4998711,8.69,12.74,50.01
EX,Extremadura,2020-04-05,2068,453,66,228,223,21,1062797,11.03,21.45,21.91
GA,Galicia,2020-04-05,6151,1916,170,190,610,207,2698764,3.09,7.04,31.15
MD,Madrid,2020-04-05,38723,14501,1510,5136,17322,1139,6685471,13.26,76.82,37.45
ML,Melilla,2020-04-05,86,38,3,2,11,3,84286,2.33,2.37,44.19
MC,Murcia,2020-04-05,1259,468,81,68,156,24,1494442,5.4,4.55,37.17
NC,Navarra,2020-04-05,3231,1432,124,187,380,158,652526,5.79,28.66,44.32
PV,País Vasco,2020-04-05,8810,4794,410,548,3568,182,2181919,6.22,25.12,54.42
RI,La Rioja,2020-04-05,2719,888,66,141,964,127,314487,5.19,44.83,32.66
AN,Andalucía,2020-04-06,8767,4335,499,528,900,186,8446561,6.02,6.25,49.45
AR,Aragon,2020-04-06,3449,1663,247,312,578,102,1324397,9.05,23.56,48.22
AS,Asturias,2020-04-06,1679,889,91,96,244,33,1019993,5.72,9.41,52.95
IB,Islas Baleares,2020-04-06,1369,705,124,84,537,49,1198576,6.14,7.01,51.5
CN,Canarias,2020-04-06,1725,689,137,89,186,76,2220270,5.16,4.01,39.94
CB,Cantabria,2020-04-06,1501,677,66,85,129,18,581949,5.66,14.61,45.1
CM,Castilla-La Mancha,2020-04-06,11077,2908,360,1177,1353,475,2038440,10.63,57.74,26.25
CL,Castilla y León,2020-04-06,9581,5180,346,982,2711,465,2402877,10.25,40.87,54.07
CT,Cataluña,2020-04-06,28323,15643,1740,2329,6150,1499,7609499,8.22,30.61,55.23
CE,Ceuta,2020-04-06,83,9,4,4,2,0,84434,4.82,4.74,10.84
VC,C. Valenciana,2020-04-06,7443,3698,492,672,1103,109,4998711,9.03,13.44,49.68
EX,Extremadura,2020-04-06,2116,686,70,258,282,48,1062797,12.19,24.28,32.42
GA,Galicia,2020-04-06,6331,1968,162,204,688,180,2698764,3.22,7.56,31.09
MD,Madrid,2020-04-06,40469,13950,1494,5371,18410,1746,6685471,13.27,80.34,34.47
ML,Melilla,2020-04-06,92,40,3,2,11,6,84286,2.17,2.37,43.48
MC,Murcia,2020-04-06,1283,500,84,78,193,24,1494442,6.08,5.22,38.97
NC,Navarra,2020-04-06,3355,1488,124,202,421,124,652526,6.02,30.96,44.35
PV,País Vasco,2020-04-06,9021,4856,417,586,3728,211,2181919,6.5,26.86,53.83
RI,La Rioja,2020-04-06,2846,918,66,160,994,127,314487,5.62,50.88,32.26
AN,Andalucía,2020-04-07,8997,4463,520,605,1041,230,8446561,6.72,7.16,49.61
AR,Aragon,2020-04-07,3549,1716,255,349,659,100,1324397,9.83,26.35,48.35
AS,Asturias,2020-04-07,1705,958,91,102,294,26,1019993,5.98,10,56.19
IB,Islas Baleares,2020-04-07,1412,731,129,89,616,43,1198576,6.3,7.43,51.77
CN,Canarias,2020-04-07,1762,703,138,91,249,37,2220270,5.16,4.1,39.9
CB,Cantabria,2020-04-07,1572,700,69,92,175,71,581949,5.85,15.81,44.53
CM,Castilla-La Mancha,2020-04-07,11788,2731,354,1255,1557,711,2038440,10.65,61.57,23.17
CL,Castilla y León,2020-04-07,10058,5322,342,1028,2988,477,2402877,10.22,42.78,52.91
CT,Cataluña,2020-04-07,29647,16235,1829,2462,7320,1324,7609499,8.3,32.35,54.76
CE,Ceuta,2020-04-07,84,9,4,4,7,1,84434,4.76,4.74,10.71
VC,C. Valenciana,2020-04-07,7655,3713,496,724,1344,212,4998711,9.46,14.48,48.5
EX,Extremadura,2020-04-07,2184,898,98,271,328,68,1062797,12.41,25.5,41.12
GA,Galicia,2020-04-07,6538,2014,158,213,800,207,2698764,3.26,7.89,30.8
MD,Madrid,2020-04-07,42450,13289,1450,5586,19836,1981,6685471,13.16,83.55,31.31
ML,Melilla,2020-04-07,93,40,3,2,12,1,84286,2.15,2.37,43.01
MC,Murcia,2020-04-07,1326,515,86,85,203,43,1494442,6.41,5.69,38.84
NC,Navarra,2020-04-07,3467,1526,124,206,450,112,652526,5.94,31.57,44.01
PV,País Vasco,2020-04-07,9452,4982,430,635,4151,431,2181919,6.72,29.1,52.71
RI,La Rioja,2020-04-07,2951,955,68,177,1061,105,314487,6,56.28,32.36
AN,Andalucía,2020-04-08,9261,4599,538,652,1193,264,8446561,7.04,7.72,49.66
AR,Aragon,2020-04-08,3685,1765,261,385,718,136,1324397,10.45,29.07,47.9
AS,Asturias,2020-04-08,1737,1018,94,110,340,32,1019993,6.33,10.78,58.61
IB,Islas Baleares,2020-04-08,1448,751,132,89,696,36,1198576,6.15,7.43,51.86
CN,Canarias,2020-04-08,1834,730,140,92,359,72,2220270,5.02,4.14,39.8
CB,Cantabria,2020-04-08,1619,720,71,98,214,47,581949,6.05,16.84,44.47
CM,Castilla-La Mancha,2020-04-08,12489,2575,342,1322,1766,701,2038440,10.59,64.85,20.62
CL,Castilla y León,2020-04-08,10518,5523,338,1082,3242,460,2402877,10.29,45.03,52.51
CT,Cataluña,2020-04-08,31043,16970,1946,2667,8014,1396,7609499,8.59,35.05,54.67
CE,Ceuta,2020-04-08,84,9,4,4,7,0,84434,4.76,4.74,10.71
VC,C. Valenciana,2020-04-08,7964,3815,541,767,1772,309,4998711,9.63,15.34,47.9
EX,Extremadura,2020-04-08,2273,958,99,283,381,89,1062797,12.45,26.63,42.15
GA,Galicia,2020-04-08,6758,2094,155,231,910,220,2698764,3.42,8.56,30.99
MD,Madrid,2020-04-08,43877,12853,1433,5800,21121,1427,6685471,13.22,86.76,29.29
ML,Melilla,2020-04-08,93,40,3,2,16,0,84286,2.15,2.37,43.01
MC,Murcia,2020-04-08,1356,533,87,88,219,30,1494442,6.49,5.89,39.31
NC,Navarra,2020-04-08,3575,1526,124,214,462,108,652526,5.99,32.8,42.69
PV,País Vasco,2020-04-08,9806,5130,433,689,4514,354,2181919,7.03,31.58,52.31
RI,La Rioja,2020-04-08,3026,997,69,182,1172,75,314487,6.01,57.87,32.95
AN,Andalucía,2020-04-09,9510,4715,582,691,1437,249,8446561,7.27,8.18,49.58
AR,Aragon,2020-04-09,3831,1822,263,409,797,146,1324397,10.68,30.88,47.56
AS,Asturias,2020-04-09,1799,1083,100,121,372,62,1019993,6.73,11.86,60.2
IB,Islas Baleares,2020-04-09,1488,777,136,97,737,40,1198576,6.52,8.09,52.22
CN,Canarias,2020-04-09,1858,738,141,94,386,24,2220270,5.06,4.23,39.72
CB,Cantabria,2020-04-09,1659,747,73,102,265,40,581949,6.15,17.53,45.03
CM,Castilla-La Mancha,2020-04-09,13063,2359,329,1431,1982,574,2038440,10.95,70.2,18.06
CL,Castilla y León,2020-04-09,11102,5674,332,1129,3506,584,2402877,10.17,46.99,51.11
CT,Cataluña,2020-04-09,31824,17780,1966,2787,8705,781,7609499,8.76,36.63,55.87
CE,Ceuta,2020-04-09,91,9,4,4,12,7,84434,4.4,4.74,9.89
VC,C. Valenciana,2020-04-09,8331,3987,561,796,2085,367,4998711,9.55,15.92,47.86
EX,Extremadura,2020-04-09,2332,1003,101,288,397,59,1062797,12.35,27.1,43.01
GA,Galicia,2020-04-09,6946,2165,151,243,997,188,2698764,3.5,9,31.17
MD,Madrid,2020-04-09,44783,12432,1399,5972,22414,906,6685471,13.34,89.33,27.76
ML,Melilla,2020-04-09,95,41,3,2,17,2,84286,2.11,2.37,43.16
MC,Murcia,2020-04-09,1383,533,88,90,255,27,1494442,6.51,6.02,38.54
NC,Navarra,2020-04-09,3748,1620,124,218,560,173,652526,5.82,33.41,43.22
PV,País Vasco,2020-04-09,10103,5290,442,729,4680,297,2181919,7.22,33.41,52.36
RI,La Rioja,2020-04-09,3076,1047,71,196,1256,50,314487,6.37,62.32,34.04
AN,Andalucía,2020-04-10,9712,4808,602,737,1630,202,8446561,7.59,8.73,49.51
AR,Aragon,2020-04-10,3969,1860,266,425,888,138,1324397,10.71,32.09,46.86
AS,Asturias,2020-04-10,1827,1147,105,128,414,28,1019993,7.01,12.55,62.78
IB,Islas Baleares,2020-04-10,1507,778,137,102,757,19,1198576,6.77,8.51,51.63
CN,Canarias,2020-04-10,1887,745,144,95,432,29,2220270,5.03,4.28,39.48
CB,Cantabria,2020-04-10,1719,773,75,107,281,60,581949,6.22,18.39,44.97
CM,Castilla-La Mancha,2020-04-10,13456,2198,316,1483,2205,393,2038440,11.02,72.75,16.33
CL,Castilla y León,2020-04-10,11543,5817,327,1180,3757,441,2402877,10.22,49.11,50.39
CT,Cataluña,2020-04-10,32984,18194,1989,2877,9267,1160,7609499,8.72,37.81,55.16
CE,Ceuta,2020-04-10,93,9,4,4,17,2,84434,4.3,4.74,9.68
VC,C. Valenciana,2020-04-10,8578,4132,565,818,2289,247,4998711,9.54,16.36,48.17
EX,Extremadura,2020-04-10,2486,1052,104,303,462,154,1062797,12.19,28.51,42.32
GA,Galicia,2020-04-10,7176,2215,144,261,1082,230,2698764,3.64,9.67,30.87
MD,Madrid,2020-04-10,45849,11894,1376,6084,23663,1066,6685471,13.27,91,25.94
ML,Melilla,2020-04-10,98,43,3,2,18,3,84286,2.04,2.37,43.88
MC,Murcia,2020-04-10,1413,533,88,94,275,30,1494442,6.65,6.29,37.72
NC,Navarra,2020-04-10,3817,1641,124,227,603,69,652526,5.95,34.79,42.99
PV,País Vasco,2020-04-10,10515,5402,453,765,4741,412,2181919,7.28,35.06,51.37
RI,La Rioja,2020-04-10,3223,1082,73,207,1337,147,314487,6.42,65.82,33.57
AN,Andalucía,2020-04-11,10006,4950,619,799,1838,294,8446561,7.99,9.46,49.47
AR,Aragon,2020-04-11,4070,1901,272,450,934,101,1324397,11.06,33.98,46.71
AS,Asturias,2020-04-11,1892,1208,106,140,430,65,1019993,7.4,13.73,63.85
IB,Islas Baleares,2020-04-11,1534,805,142,112,848,27,1198576,7.3,9.34,52.48
CN,Canarias,2020-04-11,1918,758,144,95,447,31,2220270,4.95,4.28,39.52
CB,Cantabria,2020-04-11,1752,805,75,110,297,33,581949,6.28,18.9,45.95
CM,Castilla-La Mancha,2020-04-11,13698,6838,316,1543,2365,242,2038440,11.26,75.7,49.92
CL,Castilla y León,2020-04-11,12118,5957,323,1221,4010,575,2402877,10.08,50.81,49.16
CT,Cataluña,2020-04-11,34027,18772,2018,2975,9610,1043,7609499,8.74,39.1,55.17
CE,Ceuta,2020-04-11,93,9,4,4,17,0,84434,4.3,4.74,9.68
VC,C. Valenciana,2020-04-11,8841,4149,567,838,2624,263,4998711,9.48,16.76,46.93
EX,Extremadura,2020-04-11,2580,1074,106,312,481,94,1062797,12.09,29.36,41.63
GA,Galicia,2020-04-11,7336,2306,140,274,1143,160,2698764,3.74,10.15,31.43
MD,Madrid,2020-04-11,46587,11424,1332,6278,24683,738,6685471,13.48,93.91,24.52
ML,Melilla,2020-04-11,98,43,3,2,18,0,84286,2.04,2.37,43.88
MC,Murcia,2020-04-11,1449,537,91,97,344,36,1494442,6.69,6.49,37.06
NC,Navarra,2020-04-11,3969,1663,124,232,650,152,652526,5.85,35.55,41.9
PV,País Vasco,2020-04-11,10772,5547,459,804,4867,257,2181919,7.46,36.85,51.49
RI,La Rioja,2020-04-11,3279,1122,73,219,1420,56,314487,6.68,69.64,34.22
AN,Andalucía,2020-04-12,10095,4993,621,815,1967,89,8446561,8.07,9.65,49.46
AR,Aragon,2020-04-12,4187,1938,274,464,946,117,1324397,11.08,35.03,46.29
AS,Asturias,2020-04-12,1958,1265,110,149,434,66,1019993,7.61,14.61,64.61
IB,Islas Baleares,2020-04-12,1550,811,143,117,862,16,1198576,7.55,9.76,52.32
CN,Canarias,2020-04-12,1944,763,145,96,458,26,2220270,4.94,4.32,39.25
CB,Cantabria,2020-04-12,1777,827,75,117,317,25,581949,6.58,20.1,46.54
CM,Castilla-La Mancha,2020-04-12,14054,7782,475,1626,2532,356,2038440,11.57,79.77,55.37
CL,Castilla y León,2020-04-12,12628,6077,312,1263,4154,510,2402877,10,52.56,48.12
CT,Cataluña,2020-04-12,34726,18963,2084,3105,10040,699,7609499,8.94,40.8,54.61
CE,Ceuta,2020-04-12,95,9,4,4,20,2,84434,4.21,4.74,9.47
VC,C. Valenciana,2020-04-12,9060,4269,576,876,2803,219,4998711,9.67,17.52,47.12
EX,Extremadura,2020-04-12,2658,1096,108,321,511,78,1062797,12.08,30.2,41.23
GA,Galicia,2020-04-12,7494,2344,136,284,1186,158,2698764,3.79,10.52,31.28
MD,Madrid,2020-04-12,47146,11233,1327,6423,25385,559,6685471,13.62,96.07,23.83
ML,Melilla,2020-04-12,101,43,3,2,18,3,84286,1.98,2.37,42.57
MC,Murcia,2020-04-12,1463,543,94,101,353,14,1494442,6.9,6.76,37.12
NC,Navarra,2020-04-12,4092,1693,124,239,695,123,652526,5.84,36.63,41.37
PV,País Vasco,2020-04-12,11018,5622,464,831,5026,246,2181919,7.54,38.09,51.03
RI,La Rioja,2020-04-12,3358,1141,73,223,1458,79,314487,6.64,70.91,33.98
AN,Andalucía,2020-04-13,10203,5054,631,836,2032,108,8446561,8.19,9.9,49.53
AR,Aragon,2020-04-13,4245,1966,280,492,963,58,1324397,11.59,37.15,46.31
AS,Asturias,2020-04-13,2051,1330,111,156,458,93,1019993,7.61,15.29,64.85
IB,Islas Baleares,2020-04-13,1571,826,145,118,871,21,1198576,7.51,9.85,52.58
CN,Canarias,2020-04-13,1958,771,147,102,589,14,2220270,5.21,4.59,39.38
CB,Cantabria,2020-04-13,1796,853,76,120,323,19,581949,6.68,20.62,47.49
CM,Castilla-La Mancha,2020-04-13,14329,7830,486,1714,2943,275,2038440,11.96,84.08,54.64
CL,Castilla y León,2020-04-13,13180,6175,308,1299,4266,552,2402877,9.86,54.06,46.85
CT,Cataluña,2020-04-13,35197,19224,2102,3201,10387,471,7609499,9.09,42.07,54.62
CE,Ceuta,2020-04-13,96,9,4,4,22,1,84434,4.17,4.74,9.38
VC,C. Valenciana,2020-04-13,9213,4397,581,907,3069,153,4998711,9.84,18.14,47.73
EX,Extremadura,2020-04-13,2684,1114,108,334,578,26,1062797,12.44,31.43,41.51
GA,Galicia,2020-04-13,7597,2403,133,290,1240,103,2698764,3.82,10.75,31.63
MD,Madrid,2020-04-13,48048,10753,1299,6568,26247,902,6685471,13.67,98.24,22.38
ML,Melilla,2020-04-13,101,43,3,2,18,0,84286,1.98,2.37,42.57
MC,Murcia,2020-04-13,1487,566,96,106,476,24,1494442,7.13,7.09,38.06
NC,Navarra,2020-04-13,4150,1705,124,249,730,58,652526,6,38.16,41.08
PV,País Vasco,2020-04-13,11226,5679,470,859,5193,208,2181919,7.65,39.37,50.59
RI,La Rioja,2020-04-13,3420,1152,74,234,1519,62,314487,6.84,74.41,33.68
AN,Andalucía,2020-04-14,10426,5147,665,865,2224,223,8446561,8.3,10.24,49.37
AR,Aragon,2020-04-14,4338,2006,282,514,1012,93,1324397,11.85,38.81,46.24
AS,Asturias,2020-04-14,2096,1387,114,166,487,45,1019993,7.92,16.27,66.17
IB,Islas Baleares,2020-04-14,1606,857,149,125,881,35,1198576,7.78,10.43,53.36
CN,Canarias,2020-04-14,1975,781,152,104,622,17,2220270,5.27,4.68,39.54
CB,Cantabria,2020-04-14,1823,873,76,132,363,27,581949,7.24,22.68,47.89
CM,Castilla-La Mancha,2020-04-14,14680,7896,495,1755,2998,351,2038440,11.96,86.1,53.79
CL,Castilla y León,2020-04-14,13697,6306,306,1337,4521,517,2402877,9.76,55.64,46.04
CT,Cataluña,2020-04-14,36505,20264,2189,3453,11480,1308,7609499,9.46,45.38,55.51
CE,Ceuta,2020-04-14,98,9,4,4,30,2,84434,4.08,4.74,9.18
VC,C. Valenciana,2020-04-14,9424,4465,588,945,3360,211,4998711,10.03,18.9,47.38
EX,Extremadura,2020-04-14,2762,1155,109,342,615,78,1062797,12.38,32.18,41.82
GA,Galicia,2020-04-14,7708,2471,128,299,1298,111,2698764,3.88,11.08,32.06
MD,Madrid,2020-04-14,49526,10116,1244,6724,27433,1478,6685471,13.58,100.58,20.43
ML,Melilla,2020-04-14,102,43,3,2,24,1,84286,1.96,2.37,42.16
MC,Murcia,2020-04-14,1520,574,97,109,513,33,1494442,7.17,7.29,37.76
NC,Navarra,2020-04-14,4246,1731,124,252,808,96,652526,5.93,38.62,40.77
PV,País Vasco,2020-04-14,11475,5750,471,902,5428,249,2181919,7.86,41.34,50.11
RI,La Rioja,2020-04-14,3457,1182,75,246,1585,37,314487,7.12,78.22,34.19
AN,Andalucía,2020-04-15,10638,5226,671,912,2634,212,8446561,8.57,10.8,49.13
AR,Aragon,2020-04-15,4566,2108,291,543,1087,228,1324397,11.89,41,46.17
AS,Asturias,2020-04-15,2170,1432,116,168,522,74,1019993,7.74,16.47,65.99
IB,Islas Baleares,2020-04-15,1637,872,152,131,918,31,1198576,8,10.93,53.27
CN,Canarias,2020-04-15,1988,802,156,107,673,13,2220270,5.38,4.82,40.34
CB,Cantabria,2020-04-15,1845,890,77,137,442,22,581949,7.43,23.54,48.24
CM,Castilla-La Mancha,2020-04-15,15151,7987,503,1796,3378,471,2038440,11.85,88.11,52.72
CL,Castilla y León,2020-04-15,14380,6449,307,1372,4725,683,2402877,9.54,57.1,44.85
CT,Cataluña,2020-04-15,37354,20553,2252,3618,11961,849,7609499,9.69,47.55,55.02
CE,Ceuta,2020-04-15,100,9,4,4,41,2,84434,4,4.74,9
VC,C. Valenciana,2020-04-15,9615,4524,625,972,3702,191,4998711,10.11,19.45,47.05
EX,Extremadura,2020-04-15,2881,1186,110,359,649,119,1062797,12.46,33.78,41.17
GA,Galicia,2020-04-15,7873,2494,123,310,1383,165,2698764,3.94,11.49,31.68
MD,Madrid,2020-04-15,50694,9653,1206,6877,28491,1168,6685471,13.57,102.86,19.04
ML,Melilla,2020-04-15,103,43,3,2,27,1,84286,1.94,2.37,41.75
MC,Murcia,2020-04-15,1598,575,97,111,516,78,1494442,6.95,7.43,35.98
NC,Navarra,2020-04-15,4348,1752,124,261,845,102,652526,6,40,40.29
PV,País Vasco,2020-04-15,11790,5863,478,956,5813,315,2181919,8.11,43.81,49.73
RI,La Rioja,2020-04-15,3542,1207,75,257,1654,85,314487,7.26,81.72,34.08
AN,Andalucía,2020-04-16,10913,5298,675,940,2790,275,8446561,8.61,11.13,48.55
AR,Aragon,2020-04-16,4664,2151,240,562,1121,98,1324397,12.05,42.43,46.12
AS,Asturias,2020-04-16,2230,1474,118,174,545,60,1019993,7.8,17.06,66.1
IB,Islas Baleares,2020-04-16,1668,905,152,134,938,31,1198576,8.03,11.18,54.26
CN,Canarias,2020-04-16,2009,811,159,111,730,21,2220270,5.53,5,40.37
CB,Cantabria,2020-04-16,1884,903,78,144,510,39,581949,7.64,24.74,47.93
CM,Castilla-La Mancha,2020-04-16,15997,8018,511,1852,3600,846,2038440,11.58,90.85,50.12
CL,Castilla y León,2020-04-16,14903,6518,297,1401,4924,523,2402877,9.4,58.31,43.74
CT,Cataluña,2020-04-16,38316,21242,2305,3752,12787,962,7609499,9.79,49.31,55.44
CE,Ceuta,2020-04-16,101,9,4,4,44,1,84434,3.96,4.74,8.91
VC,C. Valenciana,2020-04-16,9719,4605,632,999,4024,104,4998711,10.28,19.99,47.38
EX,Extremadura,2020-04-16,3019,1212,110,372,707,138,1062797,12.32,35,40.15
GA,Galicia,2020-04-16,8013,2535,117,320,1456,140,2698764,3.99,11.86,31.64
MD,Madrid,2020-04-16,51993,9141,1154,7007,29436,1299,6685471,13.48,104.81,17.58
ML,Melilla,2020-04-16,104,44,3,2,30,1,84286,1.92,2.37,42.31
MC,Murcia,2020-04-16,1625,585,99,112,545,27,1494442,6.89,7.49,36
NC,Navarra,2020-04-16,4433,1781,124,338,892,85,652526,7.62,51.8,40.18
PV,País Vasco,2020-04-16,12089,5939,484,992,6144,299,2181919,8.21,45.46,49.13
RI,La Rioja,2020-04-16,3550,1226,76,262,1729,8,314487,7.38,83.31,34.54
AN,Andalucía,2020-04-17,11020,5341,677,967,2948,107,8446561,8.77,11.45,48.47
AR,Aragon,2020-04-17,4761,2180,243,601,1121,97,1324397,12.62,45.38,45.79
AS,Asturias,2020-04-17,2272,1520,119,187,575,42,1019993,8.23,18.33,66.9
IB,Islas Baleares,2020-04-17,1748,937,157,148,958,80,1198576,8.47,12.35,53.6
CN,Canarias,2020-04-17,2035,822,160,115,785,26,2220270,5.65,5.18,40.39
CB,Cantabria,2020-04-17,1990,911,78,149,534,106,581949,7.49,25.6,45.78
CM,Castilla-La Mancha,2020-04-17,16349,8093,514,1913,3838,352,2038440,11.7,93.85,49.5
CL,Castilla y León,2020-04-17,15293,6831,495,1429,5103,390,2402877,9.34,59.47,44.67
CT,Cataluña,2020-04-17,39943,22013,2349,3879,13275,1627,7609499,9.71,50.98,55.11
CE,Ceuta,2020-04-17,108,9,4,4,53,7,84434,3.7,4.74,8.33
VC,C. Valenciana,2020-04-17,9795,4708,636,1042,4306,76,4998711,10.64,20.85,48.07
EX,Extremadura,2020-04-17,3081,1240,112,380,736,62,1062797,12.33,35.75,40.25
GA,Galicia,2020-04-17,8084,2554,115,334,0,71,2698764,4.13,12.38,31.59
MD,Madrid,2020-04-17,52946,8597,1094,7132,30475,953,6685471,13.47,106.68,16.24
ML,Melilla,2020-04-17,104,44,3,2,30,0,84286,1.92,2.37,42.31
MC,Murcia,2020-04-17,1638,611,102,115,638,13,1494442,7.02,7.7,37.3
NC,Navarra,2020-04-17,4556,1829,127,354,954,123,652526,7.77,54.25,40.14
PV,País Vasco,2020-04-17,12355,6030,490,1020,6556,266,2181919,8.26,46.75,48.81
RI,La Rioja,2020-04-17,3648,1249,78,272,1777,98,314487,7.46,86.49,34.24
AN,Andalucía,2020-04-18,11205,5424,687,993,3116,185,8446561,8.86,11.76,48.41
AR,Aragon,2020-04-18,4831,2216,246,619,1175,70,1324397,12.81,46.74,45.87
AS,Asturias,2020-04-18,2298,1571,120,196,596,26,1019993,8.53,19.22,68.36
IB,Islas Baleares,2020-04-18,1773,955,160,155,993,25,1198576,8.74,12.93,53.86
CN,Canarias,2020-04-18,2047,825,162,119,789,12,2220270,5.81,5.36,40.3
CB,Cantabria,2020-04-18,2050,924,78,153,610,60,581949,7.46,26.29,45.07
CM,Castilla-La Mancha,2020-04-18,16625,8137,518,1963,3963,276,2038440,11.81,96.3,48.94
CL,Castilla y León,2020-04-18,15621,6981,498,1458,5262,328,2402877,9.33,60.68,44.69
CT,Cataluña,2020-04-18,40600,22235,2395,3933,13691,657,7609499,9.69,51.69,54.77
CE,Ceuta,2020-04-18,109,9,4,4,59,1,84434,3.67,4.74,8.26
VC,C. Valenciana,2020-04-18,9937,4781,643,1065,4547,142,4998711,10.72,21.31,48.11
EX,Extremadura,2020-04-18,3136,1278,112,384,767,55,1062797,12.24,36.13,40.75
GA,Galicia,2020-04-18,8185,2590,112,346,0,101,2698764,4.23,12.82,31.64
MD,Madrid,2020-04-18,54884,8291,1123,7239,31313,1938,6685471,13.19,108.28,15.11
ML,Melilla,2020-04-18,104,44,3,2,44,0,84286,1.92,2.37,42.31
MC,Murcia,2020-04-18,1644,612,102,116,652,6,1494442,7.06,7.76,37.23
NC,Navarra,2020-04-18,4621,1843,127,369,992,65,652526,7.99,56.55,39.88
PV,País Vasco,2020-04-18,12569,6086,499,1062,6972,214,2181919,8.45,48.67,48.42
RI,La Rioja,2020-04-18,3705,1268,79,277,1816,57,314487,7.48,88.08,34.22
